,id,title,unpublished,Backup Link,sheet_entry,sheet_line,youtube_dl_entry_contributor120,Backup_found
0,___sP5xaeag,香港有你 - 世代對談：王冬勝與倪以理,False,,,,,False
1,__ANLBoZU8I,22-8-2011 警訊 網上罪行特輯 網上拍賣騙局,False,,,,,False
2,__dy_CPtSGM,"The Pulse：Christmas Special: textile waste caused by ""fast fashion"" & organ donations in Hong Kong",False,,,,True,True
3,_-DDBPLdOGY,升級家庭醫生：第六集 傑仔的煩惱 預告,False,,,,,False
4,_-DqG8NTykM,鏗鏘集：與狗為伴,False,,,,,False
5,_059s_OUfZk,反斗普通話#5 (精華),False,,,,,False
6,_09cWZIbZCc,"The Pulse：China stock market crisis, discussion with broker Francis Lun and Li Xi, asst. prof. of",False,,,,True,True
7,_1-2MwhqPYQ,Harry哥哥好鄰居：第十六集,False,,,,,False
8,_1-fLx4Ug4M,警訊 沙灘防盜需知,False,,,,,False
9,_2-WmEmPFKU,聽出好戲勢：獅子山下 2018-無愛之愛,False,,,,,False
10,_2IHbANVZmk,2010國際博弈大事回顧 (part2),False,,,,,False
11,_2smkRrdqDM,警訊 爆炸品處理課 part 1,False,,,,,False
12,_309ZG6VSBE,歲月不忘情：好時節,False,,,,,False
13,_3bq1P5AHdw,女人King 日日傾，送你精美電話套,False,,,,,False
14,_3LGXq_ZuCY,自在8點半 -食：第十一集 街頭小食,False,,,,,False
15,_3Nhv5gldoA,2/10/2009重點新聞：大坑舉行一年一度的舞火龍活動,False,,,,,False
16,_3QDcKvIb6U,五夜講場 – 真係好科學 2018：關你腸事,False,,,,,False
17,_58QsaahATg,私隱何價 (精華2),False,,,,,False
18,_5gNp5uh25c,鏗鏘集：自由與恐懼,False,https://odysee.com/@Hongkongers__:2/%E9%8F%97%E9%8F%98%E9%9B%86%EF%BC%9A%E8%87%AA%E7%94%B1%E8%88%87%E6%81%90%E6%87%BC-_5gNp5uh25c:c,True,185.0,,True
19,_5h71YyU0kg,醫生與你：抑鬱症,False,,,,,False
20,_5k7h0UVqa0,鏗鏘集：思裂的我,False,,,,,False
21,_6dOYJB1liA,「英語一分鐘」重溫之 128,False,,,,,False
22,_6KxQDcidDQ,城市論壇：別一九  矛盾撕裂未解結  迎二零  政經格局再深思Retrospect and prospect of Hong Kong,False,,,,,False
23,_6L1GPlDULE,24/07/2008重點新聞：香港奧林匹克廣場明起開放予市民參觀,False,,,,,False
24,_6uTSHGhstI,頭條新聞：Uncle Siu英文抽水站:  戴足頭盔版小豬佩奇 Peppa Pig,False,,,,True,True
25,_7ISokYGWNI,"The Works：HK artists Luke Ching x South Ho on the current protests, Leonardo da Vinci@City U & in th",False,,,,,False
26,_7szJO9WRlc,早辰。早晨：手語直播節目︰「港區國安法」預料月底通過；政府派口罩,False,,,,,False
27,_7TZC0WTrT8,第71屆香港學校音樂節優勝者演出精華：第二集,False,,,,,False
28,_7U2FRZhCk4,視點31：意想不到的巨浪；網絡監控；宣誓效忠的意義,False,,,,,False
29,_8E9q9UUh7Y,早辰 。早晨：第四十九集 (2016-06-09)：網民呼籲罷買Lancome事件；器官捐贈,False,,,,,False
30,_8OHm0dEN4k,文化長河鐵道行 第2集 「極北之旅」 未曝光片段4,False,,,,,False
31,_8xo3uaG-zM,"五夜講場 - 哲學有偈傾：杯酒人生 [ 嘉賓： 關子尹,  畢明]",False,,,,True,True
32,_8zYnkoZlag,24/11/2009重點新聞：天文台為東亞運提供實時天氣資料及預測,False,,,,,False
33,_90voy004QE,早辰保抗力:洗手洗手洗手,True,,,,,False
34,_91ZRyNtd7k,日常8點半(民生．影劇)：第二十六集,False,,,,,False
35,_93VdL0BLgw,13/10/2011 議事論事 : 施政報告 Part 1,False,,,,,False
36,_95u8cVEi3w,城市論壇：施政報告，津貼代退保？振英任務，完滿定走數？(The Commitments and Failing?),False,,,,,False
37,_A_GRPtKrtY,藝坊星期天(第二輯) 第三十七集 西班牙當代藝術,False,,,,,False
38,_A_JOBQPeo0,Harry 哥哥好鄰居 II：第87集,False,,,,,False
39,_AbdHkZNy18,【修行】功夫ShowTime - 白眉派：地煞,False,,,,,False
40,_aC6VLa9WUc,視點31：大話精；棕地；土地房屋政策；社企經營難,False,,,,,False
41,_AHPpkUk-CY,《醫生與你》#7 盲腸炎 及 短腸症  宣傳片,False,,,,,False
42,_aKZ-DykKDs,"The Pulse：Admiralty Clearance, police power and review of the Umbrella Movement with Yvonne Leung,",False,,,,True,True
43,_aqd0H7GmFg,"20-3-2012 The Works Exhibition""No One to Hear You Scream""",False,,,,,False
44,_At8QwPlNVk,2010年1月21日議事論事 : 高鐵撥款通過,False,,,,,False
45,_auOvvQ5Qco,五夜講場 - 歷史係咁話 2020：龍涎猶嚼口脂香,False,,,,,False
46,_AxWeqNglak,自在8點半 - 衣：第六集：古著新裝,False,,,,,False
47,_aXXKadvu5g,鏗鏘30：大門關上了(2000),False,,,,,False
48,_aYGBvRBu88,早辰 。早晨 (手語直播節目)： 林鄭月娥任命、眾籌,False,,,,,False
49,_b5yPIe2ZWY,28/11/2013 議事論事第十集：鳥籠式政改諮詢 + 中聯辦插手香港事務 + 鄭宇碩,False,,,,,False
50,_B7aNzX8HVU,童遊香港地：教你如何進入禁區,False,,,,,False
51,_bCe_fCeFlU,獅子山下2016：第七集﹕夜的  (演出:鄭敬基、郭慧、區騰駿、林健童...),False,,,,,False
52,_BjeXwWx9R0,五夜講場 - 文學放得開：文學放得開,False,,,,True,True
53,_bKmjPNCcgU,鏗鏘集：再見老人村,False,,,,,False
54,_bkuUsSoIzs,《學校改造工程》教學貼士：推動閱讀,False,,,,,False
55,_BLmUxOeg_o,演藝盛薈．音樂到會：Carol Lam：我的快樂時代,False,,,,,False
56,_bM5dIhM13Q,漫遊百科2019：漫遊百科 第十集 - 推理上舞台 : 從文本到劇場,False,,,,,False
57,_BNs5HQrb0s,時代的記錄 鏗鏘集：第五十二集 「時代的記錄 - 鏗鏘集」 《鏗鏘集》1997年《流金歲月之四》2003年《七月一日年青的力量》,False,,,,,False
58,_bo18CwOOvg,「英語一分鐘」重溫之九十,False,,,,,False
59,_bTF35ip5cg,城市論壇：參選特首定造王，選委提名添迷惘？未有政綱先綑綁，中央意志不可擋？(What The Election Committee will Consider for Picking the City,False,,,,,False
60,_cH0vV-ED80,頭條新聞:2011-07-01慶回歸,False,,,,,False
61,_CiDtD7_eIw,第二集：家居意外 (預告),False,,,,,False
62,_CmcsILIb_4,"反斗英語 2017：Build肌 [特別客串: 杜德智, 可宜 ]",False,,,,,False
63,_cnoJrsmKHo,正斗中文第三集（預告）,False,,,,,False
64,_CrQsxWs9K0,早辰 。早晨  (手語直播節目)：手語直播節目︰第一百六十六集,False,,,,,False
65,_Cso7VvvVJU,「12音樂門‧逃」《故事篇》：第十集,False,,,,,False
66,_cUxE83PaVc,日常8點半 (民生．健康)：第二十九集,False,,,,,False
67,_cVhBsznbG4,《希特拉的幫兇 - 漢斯．法朗克》 預告片,True,,,,,False
68,_cxfiEpUypU,也文也武 2018：第五集,False,,,,,False
69,_D7umOeWzyw,好想藝術：06_ [ 睇開啲 - 吳子昆  ] ; [ 有未來 - 李香蘭 ],False,,,,,False
70,_D9dsgYy6io,警訊：奮進行動,False,,,,,False
71,_dKcaGgAjcg,藝坊星期天 第二十二集 戴維‧史畢連 Davy Spillane,False,,,,,False
72,_dMVO8IE3lY,日常8點半 (民生．飲食)：第四十四集,False,,,,,False
73,_dy6LIDL4r0,11/11/2010 議事論事:「鼓勵就業交通津貼計劃」動議,False,,,,,False
74,_e_hwrLgPcw,早辰‧早晨：手語直播節目︰斬樹風波；日本官員性騷擾記者,False,,,,,False
75,_e3S27QjJkU,日常8點半 (民生．健康)：第十一集,False,,,,,False
76,_e8tUiUdc0g,影動青春IV：第二集 - 謬案、仁去樓兇,False,,,,,False
77,_EceNIxzGg8,13/2/2014 議事論事第十九集：普選的十字路口 + 賀歲片政治風波 + 社民連 + 毛孟靜,False,,,,,False
78,_eIo6k8df8o,2011 11 11 鐵票創舉,False,,,,,False
79,_eKNGnVvrlg,「英語一分鐘」重溫之130,False,,,,,False
80,_em1jEqP7M0,總有出頭天#5宣傳片,False,,,,,False
81,_enF6MZ_QK4,城市論壇：論題: 亞視不得續牌   觀眾處境更壞？,False,,,,,False
82,_eNjOu05TP0,早辰 。早晨：特首選情更新、聰明藥,False,,,,,False
83,_EO-nUlkLC0,頭條新聞：太后與小豪子－跑馬仔,False,,,,True,True
84,_eR-xq36K58,全民動起來：籃球,False,,,,,False
85,_eTFQs_nIos,8花齊放：孩子說 -Family、5354、卡夫貓  (主持: Mixson 與杜小喬),False,,,,,False
86,_etOV_qwtII,中國故事 III (尼泊爾語字幕)：大師/ (Nepali) मास्ट्रो,False,,,,,False
87,_f1Himk4J9U,警訊：道路安全之星頒獎禮2015,False,,,,,False
88,_F36L-1zd4A,警訊 獨留兒童在家中《對所看管兒童或少年人虐待或忽略》,False,,,,,False
89,_f8aWufLi4Y,人人廣播 : CIBS is …,False,,,,,False
90,_fBmicD5Zz0,議事論事：理財新哲學?; 堂邊鶴 —《特首戰報》預算案篇; 法治動搖?; 【論政】嘉賓:  莫乃光 (立法會議員 / 民主300+ 成員,False,,,,,False
91,_fbxHxc-5jE,健康大道：心律不正,False,,,,,False
92,_fEK6KfYDHc,日常8點半 (民生·旅遊)：第三十六集,False,,,,,False
93,_Ff8K8ZUTLw,我係奮青：我們不只是小丑,False,,,,,False
94,_fH_Sbu_lh0,14/05/2009重點新聞：泛民議員不滿特首言論u3000曾蔭權致歉,False,,,,,False
95,_fhb32QJ4VE,藝坊星期天(第二輯) 第十八集 夏永康《The Untitled》展覽,False,,,,,False
96,_ftvrzW8gC0,華人移民史 – 闖拉美：華人移民史 – 闖拉美 #4,False,,,,,False
97,_FxMdjuzkAI,中國故事 (烏都語字幕) 預告 چین کی کہانیاں,False,,,,,False
98,_G0vSloD3nA,鏗鏘集：集資圓夢,False,,,,,False
99,_G7PJ-qYRdw,小學校際通識大賽 2015：第八集,False,,,,,False
100,_gIP5KUXJ04,我係乜乜乜：我係男神/女神?,False,https://mega.nz/file/5Xw1CCIQ#Xev6KIhTV9Q-kKi2kdGZ_M7D0JL_6afN4qWrzGkOZUw,True,244.0,,True
101,_gkEAVDIsQ0,"The Works：Two young local artists: Onion Peterman, Comma Leung, pianist Igor Lipinski & John Berger",False,,,,,False
102,_gOD9OvENhE,Harry哥哥好鄰居：第一百零九集,False,,,,,False
103,_GpdsGCpqHU,Hong Kong Connection：The Last Mile of Life,False,downloaded,True,710.0,,True
104,_GU_z4K627I,Hong Kong Connection：Who Stole My Summer Vacation?,True,,,,,False
105,_GwgPAnY4n8,《硬地音樂》第7集 － Hip hop 文化及Rap的起源,False,,,,,False
106,_GyTk573b28,沒有牆的世界 5：看不到的障礙,False,,,,,False
107,_gYwrLmu6Jk,30/10/2009 頭條新聞 :鬥 噏小新 ── 樓市怪談,False,,,,,False
108,_hE8_bUgAHU,15/10/2010 頭條新聞 : 共濟共享點樣分,False,,,,,False
109,_hheYXJM7Og,20/09/2008重點新聞：羅湖舉辦教育展,False,,,,,False
110,_hhG80MgQIk,頭條好聲音－Shall we talk（海外版）,False,,,,True,True
111,_HHhapmbB2M,大自然逐樣講：外來魚之亂,False,,,,,False
112,_hSLc4kDiR8,23/04/2008重點新聞：《台灣選後系列》:中正紀念堂復名運動,False,,,,,False
113,_hWmnRa7qy0,霧出沒注意！  Watch Out for Fog,False,,,,,False
114,_I61PKlKvfc,瓷,False,,,,,False
115,_i6LSS7yP1U,日常8點半 (民生·消閒)：第一百零三集,False,,,,,False
116,_I8dHXOyVoI,早辰。早晨：手語直播節目︰第一百三十三集,False,,,,,False
117,_IiQUOSx9to,Harry哥哥好鄰居IV：第二集,False,,,,,False
118,_iTB4OWmb94,2012-06-02 頭條新聞 小新屈's App,False,,,,,False
119,_iZ4tJuc1_E,19/04/2008重點新聞：三號強風信號仍生效u3000今晚轉吹南風,False,,,,,False
120,_J18y_bnnQ0,2/12/2009重點新聞：港跆拳道選手半封閉集訓備戰東亞運,False,,,,,False
121,_j3oqmkrUvw,早辰。早晨：手語直播節目︰聽國歌要肅立；《潮傾天下》：「誇誇群」,False,,,,,False
122,_J4FUVC9oZQ,正斗中文 第12集 : 字源拾趣,False,,,,,False
123,_Ji-y8pxPDw,警訊：道路安全呼籲-高速公路道路工程指引,False,,,,,False
124,_jUb5R94TBI,"The Works：Chu Hing-wah's ""Living in Compassion"", Huang Yongping  & Shen Yuan 's HK Foot & guitarist",False,,,,,False
125,_jUqjDIjA4U,走過四十年：機遇與抉擇,False,,,,,False
126,_k6oZALJPYg,"The Works：Art & social issues, Mexican artist Bosco Sodi & a tribute to Polish composer Krzysztof Pe",True,,,,,False
127,_kHXQ8hG3NQ,義想天開：芝麻綠豆,False,https://mega.nz/file/9tpWmKaZ#xrB18EWZVSeJs2mm8nMWXwkbHndnPFw9Q4G_e2XbAjg,True,587.0,,True
128,_KKJ50Eja_c,4維賣藝：陳浩峰改編《不要防曬》,False,,,,,False
129,_KTFso_2O6E,03/01/2008重點新聞：房屋協會決定下年度繼續凍租,False,https://ipfs.io/ipfs/QmcWnpVgUrihstQSXVhCgSjGKBTRfYtJ4xEn2mpyDx7bWS?filename=03_01_2008%E9%87%8D%E9%BB%9E%E6%96%B0%E8%81%9E%EF%BC%9A%E6%88%BF%E5%B1%8B%E5%8D%94%E6%9C%83%E6%B1%BA%E5%AE%9A%E4%B8%8B%E5%B9%B4%E5%BA%A6%E7%B9%BC%E7%BA%8C%E5%87%8D%E7%A7%9F.mp4,True,993.0,,True
130,_kwlQsMdTos,自在8點半 - 衣：第九集：潮在山野,False,,,,,False
131,_KZcLBB43YU,日常8點半 (民生．家庭)：第三十九集,False,,,,,False
132,_LFzul50ElM,星期六問責：星期六問責 8月29日 / 公務員事務局局長聶德權,False,,,,,False
133,_LIOibQASkc,頭條新聞：第4集－安心上路,False,,,,True,True
134,_Lnh5r5rsRI,五夜講場 - 文學放得開 2019：遇上100%的村上春樹,False,,,,,False
135,_LqyVTwVFt0,18/04/2009重點新聞：立法會調查梁展文事件的專責委員會研訊,False,,,,,False
136,_lwI7Vr-Nxw,22/2/2011 The Works :Korean Artist Lee Lee nam,False,,,,,False
137,_M_UbtgUHPk,Harry哥哥好鄰居：第五十集,False,,,,,False
138,_m1Xg8Sp9o4,南京說：死裏逃生的士兵,False,,,,,False
139,_mlzWPALbt0,早辰 。早晨：第一百七十一集：特首跑馬仔 、講式早餐,False,,,,,False
140,_Mnoc3EU2sw,鏗鏘集：母親的抉擇,False,,,,,False
141,_MqDEDJxrKE,惜食地球人 2：惜食地球人2 - 耕人堅,True,,,,,False
142,_muWir5peUM,警訊 洗黑錢罪行,False,,,,,False
143,_MXZUbmPElM,風雨夜歸人：隨時候命,False,,,,,False
144,_mzaUVDj-KA,早辰 。早晨  (手語直播節目)：手語直播節目：港珠澳大橋石屎問題；挪威女人甘茜蓮,False,,,,,False
145,_N4JImm2k3o,13/06/2008重點新聞：胡錦濤見海基會 江丙坤冀台灣積極參與國際事務,False,,,,,False
146,_N8naLvhgIM,見面見香港_譚寶碩,False,,,,,False
147,_netS5MlPdg,「金曲40我和你」經典視像：張國榮,False,,,,,False
148,_NloShHAcUY,視點31：內傷的根源；國安恐懼，港人自擾？；以公義之名-檢控,False,,,,,False
149,_npaepvelJA,"清明與驚蟄   ""Bright and Clear"" and ""Insects Waken""",False,,,,,False
150,_NPe6QZXpvg,Harry哥哥好鄰居IV：第二十一集,True,,,,,False
151,_nQedYyqris,早辰‧早晨：手語直播節目︰第一百六十七集,False,,,,,False
152,_OAi57mvbzM,24-3-2012 頭條新聞 共產黨？？,False,,,,,False
153,_OiIxzhGd54,鏗鏘說：葉劉淑儀︰精英與民意的距離,False,https://mega.nz/file/cK5jTaDJ#5UkJWo9A_7WrM0odmZGMfbuFrXdKCv4XWo71Yi5JU04,True,631.0,,True
154,_Omlm2E8Ti0,為殘疾運動員喝采,False,,,,,False
155,_op05c6Awlc,《細路哥 想甚麼》第四集 《甚麼是成長》,False,,,,,False
156,_Oqe8eA7jdc,早辰‧早晨：手語直播節目︰國慶談港獨；更改國名,False,,,,,False
157,_oXts4l-Aaw,五夜講場 - 哲學有偈傾 2019：法律不外乎道德？,False,,,,,False
158,_pc9kwztDnA,獅子山下2015：豹 [演出: 梁健平、黃智勇、陳安瑩、梁愛、Dhillon Harbeinder Singh...],False,,,,,False
159,_PIWNKaepRE,五夜講場 - 歷史係咁話 2020：飽來隨意飲高馡,False,,,,,False
160,_q3VXiuzWr4,早辰。早晨：手語直播節目︰香港「封」了；美國打擊生育旅遊,False,,,,,False
161,_qCA99wtw60,23/10/2014 議事論事：對話; 駭客網絡攻擊; 飛哥與你: 陳方安生,False,,,,,False
162,_qEIVpbyblk,硬地音樂：第6集  Interzone Collective,False,,,,,False
163,_QJLH6S_3jU,標記時代預告,False,,,,,False
164,_QqcUtNfTgc,沒有牆的世界 6：愛吧！硬滾騎士！,False,,,,,False
165,_qVSkOJWoXw,警訊：罪案呼籲-虛擬夾公仔機投資騙案,True,,,,,False
166,_qvZvB0Ghe4,Harry哥哥好鄰居IV：第三十三集,True,,,,,False
167,_R1UK8lsa-k,韓國乾坤四維遊：第九集,False,,,,,False
168,_RC4JShxXp4,Harry 哥哥好鄰居。即時放送：第四集,False,,,,,False
169,_RHFyo002Lg,26/12/2009重點新聞：人類豬流感疫苗接種計劃展開五日,False,,,,,False
170,_rj43X3Wy2U,藝坊星期天(第二輯) 第二十二集 約翰博士Dr.John,False,,,,,False
171,_rjfnaPAGjo,香港歷史系列 IV：戰後的光與影,False,未upload,True,92.0,,True
172,_rKS3n0sW_A,文化長河-鐵道行 : 大海之南- 粵海鐵路,False,,,,,False
173,_RmMGRxcjto,健康大道：睡眠窒息症,False,,,,,False
174,_RNJ3kynylU,2010-6-10 議事論事 - 立法會話你知,False,,,,,False
175,_RPc_1b-B60,好好過日子：杜小喬整臭臭鍋,False,,,,,False
176,_RVpDT1SFUA,原來錢怍怪2012-06-23#2,False,,,,,False
177,_sdTG5b6CEM,正斗中文第六集 : 字源拾趣,False,,,,,False
178,_sHZ2QengvA,足本版承諾MV ： 演藝人協會四川大地震賑災主題曲,False,https://mega.nz/file/hl5yhKDZ#vdjizEapE2cY86j1_SBW2wnF4jod6fCmgq35rs8OGxw,True,36.0,,True
179,_SNLqYFO2Z4,頭條新聞:2011-07-16小新My廣告,False,,,,,False
180,_sr9iVazJjQ,分分鐘需要你(參加者：Arthur Lam),False,,,,,False
181,_t-qOEqmmrw,香港故事第二十七輯-音樂‧人間：柳重言 - 空白的緣份,False,,,,True,True
182,_Tappwudsgw,香港故事- 此時此地：#9 街市日常,True,,,,,False
183,_tBQgmdRwv4,Harry 哥哥好鄰居 II：第82集,False,,,,,False
184,_TG2yS1EOVw,講錢。講呢啲：咩coin同咩coin?,False,,,,,False
185,_TkbDDXFs-U,五夜講場 - 哲學有偈傾 2020：正義朋友羅爾斯,False,,,,,False
186,_TkrRPyU7jE,日常8點半 (民生‧旅遊)：第五集,False,,,,,False
187,_TksvWSYopM,01/03/2013 The Pulse : Budget + Recycling Glass Bottles,False,,,,,False
188,_TmZqQJ5FTQ,藝坊星期天 第十八集   鈴木雅明,False,,,,,False
189,_TQHlXrghY0,我家在香港 II：孟加拉的兩生花,False,,,,,False
190,_tyULB2cFOg,有種信念，叫跑！：OL跑：蝦嫂 / 5K名人挑戰賽: 細So,False,,,,,False
191,_u5g-rGN_4I,自在8點半 (旅遊)：第三十一集,False,,,,,False
192,_udS0Ck8JM4,好想藝術：7｜從心_舞者．編舞家－麥秋成；從謎_大作家的寫作秘技；從新_人體素描,False,,,,,False
193,_UhWHvE-IxU,早辰。早晨：手語直播節目：林鄭月娥加薪；社交與貧富的距離,True,,,,,False
194,_UjTSGw5bqA,2010-7-3 頭條新聞 : 超人好佬網──大熱,False,,,,,False
195,_UkiuFQGn_s,早辰。早晨：手語直播節目︰警方的邏輯；東京奧運倒數,False,,,,,False
196,_unOmJGcKts,《我們都是這樣唱大的》- 譚詠麟:舊曲新詞,False,,,,,False
197,_UOACvnS0QM,第七屆全港運動會網球比賽(隊際項目) The 7th Hong Kong Games Tennis Competition (team events),False,,,,,False
198,_uPlGSf1BUo,自在8點半 (旅遊)：第十一集,False,,,,,False
199,_Uu5SPneZQU,Off the Grid：Going Back in Time,False,,,,,False
200,_uWQOmMXQcY,雷Sir講是唔講非 ─ 划艇篇  Dr Louie tells you the truth - Rowing,False,,,,,False
201,_UWT5DxZTQo,《動物起革命》第四集《人類的朋友》預告,False,,,,,False
202,_UXZ7q-L1Ys,上網問功課 同行抗疫：第三十五集,False,,,,,False
203,_v3gCq4r118,29/05/2009 頭條新聞:  CMN 超現實報道,False,,,,,False
