,source,id,youtube_dl_entry_contributor120
0,youtube,WG8zNoDQ9oc,True
1,youtube,CeFEX4e80Kw,True
2,youtube,RshjSWA2RI0,True
3,youtube,6RUWhlebUK8,True
4,youtube,glsJmeljRLk,True
5,youtube,BdrufbSJwHE,True
6,youtube,L3dtRrNJTwg,True
7,youtube,rEsrkWlVj8A,True
8,youtube,QNLMZ5MfTN0,True
9,youtube,D4B6oWCYPm8,True
10,youtube,YFSh9t178GE,True
11,youtube,Zu_EKL9SOIk,True
12,youtube,84sgde7cJ-o,True
13,youtube,ExqqdUXXdgA,True
14,youtube,5fp7v4PDs5I,True
15,youtube,5-ZTGP7a14g,True
16,youtube,OV8jw5mzsj8,True
17,youtube,nlA6bRcs0oU,True
18,youtube,wuL_QurTJrE,True
19,youtube,qeNL-bhdWqs,True
20,youtube,9HmOZZc0aEI,True
21,youtube,4ReaQIF0qwo,True
22,youtube,U1qjkAyr40o,True
23,youtube,NM22GRJZAng,True
24,youtube,KNeDm06Xb2Y,True
25,youtube,_hhMmU2wJqg,True
26,youtube,-D54ksTbwDQ,True
27,youtube,CxTPR9Bz90U,True
28,youtube,AiJ5TOaUhj8,True
29,youtube,lfBIYTrciHI,True
30,youtube,Eek-BlAsA3o,True
31,youtube,4Q0KAxoxMPo,True
32,youtube,MH0m5ktDJvU,True
33,youtube,avgRx29hT00,True
34,youtube,0SsEeLvygoU,True
35,youtube,1BZynkwnqHs,True
36,youtube,xzLF_8_3smU,True
37,youtube,AkJEwWWPZhU,True
38,youtube,sg-nx3B3qCI,True
39,youtube,fO48CQGc56U,True
40,youtube,g_FKVeNrKiQ,True
41,youtube,0c3N7sPFvgM,True
42,youtube,7pZCiPHlgwA,True
43,youtube,WRK45UAKNv0,True
44,youtube,X5-8NLYnSrM,True
45,youtube,ZT7kegfG8ao,True
46,youtube,-swFlvt4F-M,True
47,youtube,9_7Vbk7M-GU,True
48,youtube,3qCPiCQmAIk,True
49,youtube,iTyy51M-Zis,True
50,youtube,kG9W4OTGCow,True
51,youtube,7i7Cr6NfBCc,True
52,youtube,DaRcInsggt8,True
53,youtube,Ovoli4527ZI,True
54,youtube,k0-NHY3y1Ro,True
55,youtube,P9LDPM0AGuM,True
56,youtube,Nc7NLPbHc58,True
57,youtube,9_7Vbk7M-GU,True
58,youtube,3qCPiCQmAIk,True
59,youtube,iTyy51M-Zis,True
60,youtube,kG9W4OTGCow,True
61,youtube,7i7Cr6NfBCc,True
62,youtube,DaRcInsggt8,True
63,youtube,Ovoli4527ZI,True
64,youtube,k0-NHY3y1Ro,True
65,youtube,P9LDPM0AGuM,True
66,youtube,Nc7NLPbHc58,True
67,youtube,AkJEwWWPZhU,True
68,youtube,sg-nx3B3qCI,True
69,youtube,fO48CQGc56U,True
70,youtube,g_FKVeNrKiQ,True
71,youtube,0c3N7sPFvgM,True
72,youtube,7pZCiPHlgwA,True
73,youtube,WRK45UAKNv0,True
74,youtube,X5-8NLYnSrM,True
75,youtube,ZT7kegfG8ao,True
76,youtube,-swFlvt4F-M,True
77,youtube,Zu_EKL9SOIk,True
78,youtube,84sgde7cJ-o,True
79,youtube,5fp7v4PDs5I,True
80,youtube,nlA6bRcs0oU,True
81,youtube,qeNL-bhdWqs,True
82,youtube,CxTPR9Bz90U,True
83,youtube,4ReaQIF0qwo,True
84,youtube,NM22GRJZAng,True
85,youtube,AiJ5TOaUhj8,True
86,youtube,KNeDm06Xb2Y,True
87,youtube,lfBIYTrciHI,True
88,youtube,Eek-BlAsA3o,True
89,youtube,_hhMmU2wJqg,True
90,youtube,4Q0KAxoxMPo,True
91,youtube,-D54ksTbwDQ,True
92,youtube,MH0m5ktDJvU,True
93,youtube,avgRx29hT00,True
94,youtube,0SsEeLvygoU,True
95,youtube,1BZynkwnqHs,True
96,youtube,xzLF_8_3smU,True
97,youtube,-AcKauPU-nQ,True
98,youtube,O_ANlXoO0gc,True
99,youtube,5PS9QWZVMyE,True
100,youtube,BRw-2eePaCA,True
101,youtube,Wf0dI2AORUw,True
102,youtube,4BW_J7reuv4,True
103,youtube,SqUBluGgUHY,True
104,youtube,LPGTrcfS6pQ,True
105,youtube,bvx8Qyx5Wx8,True
106,youtube,DxJil2E-gjA,True
107,youtube,LeDGZ7M20i0,True
108,youtube,raF3vcaNpGE,True
109,youtube,3cJmYeM_ch0,True
110,youtube,Oh-9T63out0,True
